id,title,value
id,Углублённый цоколь,Да
id,Регулируемые ножки,Да
id,Уровень шума,37
id,Энергопотребление,136
id,Класс энергоэффективности,A
id,Климатический класс,N - ST
id,Хладагент,R600A (12 гр.)
id,Объем,22
id,Высота,820
id,Ширина,150
id,Глубина,525
id,Размер двери (В×Ш),720 × 150
id,Минимальный размер ниши (В × Ш × Г),830 × 160 × 550
id,Размер упаковки (В × Ш × Г),900 × 225 × 585
id,Вес без упаковки,17
id,Вес с упаковкой,19, 5
id,Вместимость (бутылок),22
id,Тип о×лаждения,Компрессорный
id,Материал корпуса,Сталь
id,Цвет корпуса,Чёрный
id,Тип установки,Встраиваемый
id,Тип встраивания,В колонну
id,Кол-во температурны× зон,1
id,Диапазон температур,от +5°C до +18°C
id,Количество дверей,1
id,Рамка двери,Стальная
id,Перенавешиваемая дверь,Нет
id,Автодоводчик двери,Нет
id,Стекло,Двойное с УФ-фильтром
id,Ручка двери,Стальная
id,Замок двери,Нет
id,Угольный фильтр,Да
id,Вид о×лаждения,Динамический
id,Тип управления,Сенсорный
id,Количество полок,3
id,Тип полок,Выдвижные
id,Материал полок,Дерево (массив бука)
id,Автоматическая разморозка,Да
id,Зимний режим,Да
id,Демонстрационное освещение,Да
id,Память настроек,Да
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
id,Регулируемые ножки,Да
id,Уровень шума,45
id,Энергопотребление,132
id,Класс энергоэффективности,A
id,Климатический класс,T,  ST,  SN,  N
id,Хладагент,R600a
id,Объем,53
id,Высота,456
id,Ширина,594
id,Глубина,560
id,Размер двери (В×Ш),456 × 594
id,Минимальный размер ниши (В × Ш × Г),461 × 550 × 560
id,Размер упаковки (В × Ш × Г),524 × 660 × 625
id,Вес без упаковки,30, 5
id,Вес с упаковкой,39
id,Вместимость (бутылок),19
id,Тип о×лаждения,Компрессорный
id,Материал корпуса,Сталь
id,Цвет корпуса,Чёрный
id,Тип установки,Встраиваемый Отдельностоящий
id,Тип встраивания,Под столешницу
id,Встроенная система вентиляции,Да
id,Кол-во температурны× зон,1
id,Диапазон температур,От +5 до +20°C
id,Количество дверей,1
id,Рамка двери,Бесшовная нержавеющая сталь
id,Навесной фасад,Нет
id,Перенавешиваемая дверь,Да (side by side)
id,Автодоводчик двери,Нет
id,Стекло,Тройное с УФ-фильтром
id,Ручка двери,Чёрная
id,Замок двери,Нет
id,Панорамное освещение,Да
id,Угольный фильтр,Да
id,Сигнализация открытой двери,Да
id,Сигнализация отклонения температуры,Да
id,Вид о×лаждения,Динамический
id,Тип управления,Сенсорный
id,Количество полок,6
id,Тип полок,Выдвижные, Мини-полка
id,Материал полок,Дерево (массив бука)
id,Автоматическая разморозка,Да
id,Зимний режим,Нет
id,Демонстрационное освещение,Да
id,Блокировка панели управления,Да
id,Режим Эко Демо,Да
id,Память настроек,Да
id,Резервуар для воды,Нет
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
id,Углублённый цоколь,Да
id,Регулируемые ножки,Да
id,Уровень шума,40
id,Энергопотребление,108
id,Класс энергоэффективности,A
id,Климатический класс,N-ST
id,Хладагент,R600A (20 гр.)
id,Объем,58
id,Высота,820
id,Ширина,295
id,Глубина,578
id,Размер двери (В×Ш),730 × 295
id,Минимальный размер ниши (В × Ш × Г),830 × 305 × 585
id,Размер упаковки (В × Ш × Г),858 × 332 × 625
id,Вес без упаковки,28, 5
id,Вес с упаковкой,31, 5
id,Вместимость (бутылок),12
